frame,bbox,upscale_text,upscale_morph_text
313,"1693,946,1901,1060",,
314,"1676,943,1890,1059",,
315,"1670,943,1873,1058",.যদর 1933_8375,".72দ"" [8488370"
316,"1658,942,1866,1057",,
319,"1622,941,1831,1059",,
320,"1614,946,1817,1059",- হ ?,&
321,"1603,947,1804,1061",ঢট রোচা [813-92৬8,ঢট সেেমা [$3-99৬{
322,"1588,947,1795,1063",444491 4303,১৬ ; 4৫দ] 43
323,"1575,947,1783,1062",,
326,"1526,939,1744,1057",,
327,"1524,939,1724,1055",,
328,"1514,936,1713,1051", 48!1   72,91551 4 9317
329,"1502,934,1704,1050",,
330,"1492,930,1695,1044",ঘটু সতে 18334835,টু মডে [8334835
331,"1480,927,1680,1039",চটা পে0দ] ১২-৭3৬৭,চটা লপদ] ১২-৭৬৭
332,"1469,923,1670,1038",চট্ট লেপ্] ১৪-৭3৬9,ঢট্ট সেপ্ড] [3-৭3৬8
333,"1460,922,1660,1036",চট্ট সেেরেগা $3-৭3৬8,চট্ট {দদী [১3-৭3৬8
334,"1450,919,1649,1032",ঢট্ সেেপনা $3-৭3৬8,চট্ট 9েদেনা $3-৭3৬8
335,"1441,915,1640,1029",৩ট সোচদা $3-৭3৬9,চট্ট সেচ্দা ১২-৭3৬9
336,"1429,914,1631,1028",চটপনা $3-৭3৬9,চট পোদনা ১২-৭১৬৭
337,"1420,912,1622,1025",ঢটছা $3-8358,ঢটছ $২-8৯৬8
338,"1406,909,1613,1024",,
339,"1391,905,1604,1022",,
340,"1392,906,1594,1020",43),443193
341,"1387,904,1587,1018",0 78 341,১ 934[2
342,"1383,902,1578,1015",ঢট 9ছ) 7413_83৬9|,ঢট সেদ) 443_83৬9
343,"1378,902,1576,1013",ঢট মেেছেন 43~92)৬(,চট মেেচেন 43_8[3!৬3
344,"1374,900,1577,1014",,
345,"1375,899,1576,1012",,
346,"1379,898,1574,1011",,
347,"1379,895,1580,1006",ঢট সেেচটা 3_92৬9,ঢট সেেচটা] 3-82৬9
348,"1380,893,1581,1004",ঢট পেেছটা 3-83ড{,ঢট শেেচটা ১3-৭3৬9
349,"1380,890,1582,1002",ঢট পোেপটা 433832৬প,ঢট শেেপটা ১3-8ছ৬9
350,"1381,888,1583,1000",2ট পোেপা 8413_433ড{8,৩9 শেেচয় 513_83৬8
351,"1379,886,1581,998",29 9োসা 4443_3৬,৩9 9োচদা 423_93৬]
352,"1375,885,1576,997",440_941472,|50_9941
353,"1370,882,1571,994",123 0469),14 0ে8) ১
354,"1365,880,1565,990",50 09প1 [33482৬8,50 09প51 [33482৬8
355,"1359,877,1564,987",,
356,"1354,874,1561,985",,
357,"1353,873,1558,982",,
358,"1341,869,1556,980",,
359,"1342,867,1553,979",,
360,"1343,865,1548,976",চটষ [3434383458,চট [3434383358
361,"1340,864,1542,976",১দ <ঘ্ব্ড্ড' 424383208,১৬  ম্ক9্' 1343832৬8
